"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1960,"Bill Russell","C","6-10","215","Boston Celtics","Eastern All-Star Coaches Selection","1956 Rnd 1 Pick 2","United States"
1960,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1960,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Coaches Selection","1950 Rnd 2 Pick 5","United States"
1960,"George Yardley","GF","6-5","190","Syracuse Nationals","Eastern All-Star Coaches Selection","1950 Rnd 1 Pick 8","United States"
1960,"Elgin Baylor","F","6-5","225","Minneapolis Lakers","Western All-Star Coaches Selection","1956 Rnd 14 Pick 2","United States"
1960,"Walter Dukes","C","7-0","220","Detroit Pistons","Western All-Star Fan Vote Selection","1953 NBA Draft, Undrafted","United States"
1960,"Dick Garmaker","GF","6-3","200","Minneapolis Lakers","Western All-Star Fan Vote Selection","1954 Rnd 9 Pick 8","United States"
1960,"Cliff Hagan","GF","6-4","210","St. Louis Hawks","Western All-Star Coaches Selection","1953 Rnd 3 Pick 6","United States"
1960,"Hot Rod Hundley","G","6-4","185","Minneapolis Lakers","Western All-Star Coaches Selection","1957 Rnd 1 Pick 1","United States"
1960,"Clyde Lovellette","FC","6-10","234","St. Louis Hawks","Western All-Star Coaches Selection","1952 Rnd 1 Pick 10","United States"
1960,"Chuck Noble","SG","6-4","200","Detroit Pistons","Western All-Star Coaches Selection","1954 Rnd 4 Pick 3","United States"
1960,"Bob Pettit","FC","6-9","205","St. Louis Hawks","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 2","United States"
1960,"Gene Shue","G","6-2","170","Detroit Pistons","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 3","United States"
